date,energy_produced_Wh
04/11/2019,"8,746"
04/12/2019,"10,203"
04/13/2019,"8,022"
04/14/2019,"9,942"
04/15/2019,"17,971"
04/16/2019,"7,933"
04/17/2019,"16,168"
04/18/2019,"8,617"
04/19/2019,"3,267"
04/20/2019,"16,377"
04/21/2019,"19,981"
04/22/2019,"6,369"
04/23/2019,"20,166"
04/24/2019,"18,769"
04/25/2019,"15,625"
04/26/2019,"21,865"
04/27/2019,"16,148"
04/28/2019,"23,578"
04/29/2019,"23,951"
04/30/2019,"23,414"
05/01/2019,"23,434"
05/02/2019,"19,411"
05/03/2019,"17,927"
05/04/2019,"22,410"
05/05/2019,"22,941"
05/06/2019,"21,796"
05/07/2019,"22,946"
05/08/2019,"21,735"
05/09/2019,"22,077"
05/10/2019,"22,616"
05/11/2019,"22,256"
05/12/2019,"15,559"
05/13/2019,"16,955"
05/14/2019,"10,360"
05/15/2019,"14,044"
05/16/2019,"8,872"
05/17/2019,"21,550"
05/18/2019,"19,815"
05/19/2019,"19,522"
05/20/2019,"6,260"
05/21/2019,"13,625"
05/22/2019,"22,227"
05/23/2019,"21,656"
05/24/2019,"5,184"
05/25/2019,"5,248"
05/26/2019,"15,617"
05/27/2019,"23,351"
05/28/2019,"13,930"
05/29/2019,"17,482"
05/30/2019,"19,057"
05/31/2019,"17,514"
06/01/2019,"17,674"
06/02/2019,"22,305"
06/03/2019,"16,606"
06/04/2019,"23,323"
06/05/2019,"13,128"
06/06/2019,"15,810"
06/07/2019,"13,270"
06/08/2019,"23,397"
06/09/2019,"22,047"
06/10/2019,"23,733"
06/11/2019,"23,860"
06/12/2019,"19,737"
06/13/2019,"21,998"
06/14/2019,"19,543"
06/15/2019,"19,956"
06/16/2019,"22,147"
06/17/2019,"18,849"
06/18/2019,"5,903"
06/19/2019,"17,335"
06/20/2019,"19,616"
06/21/2019,"23,044"
06/22/2019,"11,934"
06/23/2019,"7,755"
06/24/2019,"18,162"
06/25/2019,"19,591"
06/26/2019,"14,831"
06/27/2019,"18,145"
06/28/2019,"20,817"
06/29/2019,"22,520"
06/30/2019,"23,632"
07/01/2019,"23,513"
07/02/2019,"3,351"
07/03/2019,"11,513"
07/04/2019,"19,762"
07/05/2019,"11,555"
07/06/2019,"16,495"
07/07/2019,"9,177"
07/08/2019,"19,131"
07/09/2019,"11,647"
07/10/2019,"10,755"
07/11/2019,"15,648"
07/12/2019,"20,933"
07/13/2019,"22,058"
07/14/2019,"21,977"
07/15/2019,"10,160"
07/16/2019,"20,998"
07/17/2019,"7,294"
07/18/2019,"17,262"
07/19/2019,"19,801"
07/20/2019,"23,482"
07/21/2019,"22,902"
07/22/2019,"22,925"
07/23/2019,"11,623"
07/24/2019,"20,388"
07/25/2019,"22,723"
07/26/2019,"22,723"
07/27/2019,"10,828"
07/28/2019,"22,819"
07/29/2019,"22,297"
07/30/2019,"18,253"
07/31/2019,"21,612"
08/01/2019,"21,916"
08/02/2019,"19,482"
08/03/2019,"22,102"
08/04/2019,"21,762"
08/05/2019,"21,188"
08/06/2019,"18,340"
08/07/2019,"16,049"
08/08/2019,"9,356"
08/09/2019,"15,085"
08/10/2019,"15,029"
08/11/2019,"10,336"
08/12/2019,"19,518"
08/13/2019,"20,571"
08/14/2019,"20,308"
08/15/2019,"19,437"
08/16/2019,"10,978"
08/17/2019,"13,328"
08/18/2019,"18,864"
08/19/2019,"15,471"
08/20/2019,"17,054"
08/21/2019,"7,486"
08/22/2019,"15,448"
08/23/2019,"13,903"
08/24/2019,"18,771"
08/25/2019,"17,910"
08/26/2019,"21,242"
08/27/2019,"20,742"
08/28/2019,"19,939"
08/29/2019,"11,999"
08/30/2019,"15,628"
08/31/2019,"13,618"
09/01/2019,"18,357"
09/02/2019,"20,034"
09/03/2019,"18,432"
09/04/2019,"15,248"
09/05/2019,"15,839"
09/06/2019,"18,372"
09/07/2019,"4,878"
09/08/2019,"11,211"
09/09/2019,"7,838"
09/10/2019,"14,942"
09/11/2019,"16,305"
09/12/2019,"16,329"
09/13/2019,"10,177"
09/14/2019,"3,865"
09/15/2019,"3,923"
09/16/2019,"17,223"
09/17/2019,"4,693"
09/18/2019,"15,106"
09/19/2019,"14,647"
09/20/2019,"9,652"
09/21/2019,"9,927"
09/22/2019,"4,480"
09/23/2019,"4,493"
09/24/2019,"10,727"
09/25/2019,"16,055"
09/26/2019,"11,185"
09/27/2019,"14,158"
09/28/2019,"10,556"
09/29/2019,"6,648"
09/30/2019,"17,342"
10/01/2019,"17,413"
10/02/2019,"12,106"
10/03/2019,"12,490"
10/04/2019,"11,070"
10/05/2019,"12,407"
10/06/2019,"15,269"
10/07/2019,"3,643"
10/08/2019,"5,883"
10/09/2019,"17,048"
10/10/2019,"16,279"
10/11/2019,"15,436"
10/12/2019,"6,125"
10/13/2019,"8,647"
10/14/2019,"15,156"
10/15/2019,"5,247"
10/16/2019,"2,638"
10/17/2019,"5,302"
10/18/2019,"3,147"
10/19/2019,"4,759"
10/20/2019,"2,352"
10/21/2019,"1,636"
10/22/2019,"1,968"
10/23/2019,"11,818"
10/24/2019,"10,079"
10/25/2019,"2,037"
10/26/2019,"8,253"
10/27/2019,"14,165"
10/28/2019,"13,937"
10/29/2019,"14,775"
10/30/2019,"13,825"
10/31/2019,"11,311"
11/01/2019,"12,271"
11/02/2019,"12,532"
11/03/2019,"10,746"
11/04/2019,"8,345"
11/05/2019,"9,525"
11/06/2019,"9,228"
11/07/2019,"8,284"
11/08/2019,"10,636"
11/09/2019,"1,532"
11/10/2019,"1,787"
11/11/2019,"7,328"
11/12/2019,"1,954"
11/13/2019,"4,558"
11/14/2019,"3,411"
11/15/2019,"6,007"
11/16/2019,"1,876"
11/17/2019,"2,184"
11/18/2019,763
11/19/2019,"1,521"
11/20/2019,"11,509"
11/21/2019,"11,134"
11/22/2019,"3,534"
11/23/2019,"3,447"
11/24/2019,"7,981"
11/25/2019,"5,637"
11/26/2019,"5,074"
11/27/2019,"9,247"
